gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.64999962,19.64999962,No
Male,1,No,No,70,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),44.04999924,3011.649902,No
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.0,8093.149902,No
Male,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,94.40000153,5610.25,Yes
Female,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4000015,3217.649902,No
Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.85000038,19.85000038,Yes
Female,0,No,No,14,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.25,773.2000122,No
Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,1029.349976,No
Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.9000015,669.4500122,Yes
Female,0,No,No,46,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,79.19999695,3593.800049,No
Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.3499985,1553.949951,Yes
Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.30000305,3953.149902,No
Male,0,No,No,39,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),49.79999924,1971.150024,No
Male,1,No,No,21,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.04999924,1236.150024,Yes
Male,0,No,No,57,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.75,3196.0,No
Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,93.44999695,4872.200195,No
Male,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,87.90000153,1500.5,No
Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.15000153,60.15000153,Yes
Female,0,Yes,No,58,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),61.04999924,3478.75,No
Female,1,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.0500031,7413.549805,No
Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,No
Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),85.69999695,256.75,No
Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.8499985,3887.25,No
Male,0,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69.15000153,2490.149902,No
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.44999695,593.4500122,Yes
Female,0,No,No,47,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,74.44999695,3510.300049,No
Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.45000076,765.4500122,No
Female,1,Yes,No,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.0,1259.349976,No
Male,0,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,85.25,5538.350098,No
Male,0,Yes,No,15,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.45000076,340.8500061,No
Female,0,No,No,42,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.75,844.4500122,No
Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,78.90000153,1348.949951,No
Male,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.5,3778.0,No
Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.40000153,611.6500244,No
Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.25,4867.950195,Yes
Female,0,No,No,60,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,25.0,1505.050049,No
Male,0,Yes,Yes,18,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.54999924,467.8500061,No
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.90000153,74.90000153,Yes
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15000153,194.1999969,No
Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.40000153,571.4500122,No
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.25,80.25,Yes
Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,93.15000153,5253.950195,No
Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.0,1149.650024,Yes
Female,0,Yes,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.34999847,740.7999878,Yes
Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55000305,521.3499756,No
Female,0,Yes,Yes,69,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.20000076,1412.650024,No
Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.0,1532.449951,Yes
Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.30000305,250.0500031,Yes
Male,0,Yes,Yes,54,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.39999962,1090.599976,No
Male,0,Yes,No,62,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),23.75,1446.800049,No
Male,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.55000305,2282.550049,Yes
Female,0,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.44999695,4300.450195,No
Male,0,No,No,17,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.75,1111.199951,No
Male,0,No,No,9,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.60000038,190.1000061,No
Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,69.25,4447.75,No
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.90000153,143.3500061,Yes
Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.84999847,45.84999847,Yes
Female,0,Yes,No,16,No,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,49.95000076,810.2000122,Yes
Female,0,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.64999962,1830.050049,No
Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),90.40000153,2820.649902,No
Female,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.8499985,4847.350098,No
Male,0,Yes,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),75.34999847,4729.299805,No
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.19999695,4017.449951,No
Male,0,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),64.40000153,1398.599976,No
Male,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.30000305,2564.300049,Yes
Female,0,Yes,Yes,70,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.70000076,1685.900024,No
Male,0,No,Yes,54,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,105.8499985,5826.649902,No
Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,98.30000305,6066.549805,No
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.94999695,228.3999939,Yes
Male,0,No,No,13,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.45000076,270.2000122,No
Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.15000153,1529.199951,Yes
Female,0,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.70000076,168.6000061,No
Male,0,No,No,25,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.14999962,536.3499756,No
Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.449951,No
Female,0,Yes,No,21,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.3499756,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.29999924,45.29999924,Yes
Female,0,No,No,15,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.39999962,289.2999878,Yes
Male,1,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.44999695,2117.25,No
Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.1500015,4730.899902,No
Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),83.15000153,2033.050049,No
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,90.15000153,987.9500122,Yes
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.04999924,45.04999924,Yes
Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.1999969,5744.350098,No
Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.80000305,75.80000305,Yes
Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.45000076,19.45000076,No
Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.30000305,523.1500244,Yes
Female,1,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),88.80000305,4805.299805,No
Female,0,No,No,2,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,30.89999962,59.04999924,Yes
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.90000153,6110.75,No
Female,1,No,No,45,No,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,34.20000076,1596.599976,No
Female,0,No,No,47,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.14999962,1046.199951,No
Female,1,No,No,46,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),95.25,4424.200195,Yes
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.29999924,92.75,No
Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.15000153,194.5500031,No
Female,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,51.25,612.0999756,No
Female,1,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.59999847,6127.600098,Yes
Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),95.19999695,6671.700195,No
Male,1,No,Yes,56,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),94.80000305,5264.299805,No
Female,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,303.7000122,No
Male,0,Yes,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),76.09999847,4818.799805,No
Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.1500015,6448.049805,Yes
Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),115.5500031,7159.049805,No
Male,0,Yes,Yes,63,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.64999962,1574.5,No
Female,0,No,No,53,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,53.59999847,2879.199951,No
Male,0,Yes,Yes,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.45000076,86.05000305,No
Male,1,Yes,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.19999695,4159.450195,No
Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.1500015,6638.350098,No
Female,0,Yes,No,55,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,56.79999924,3112.050049,No
Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,99.40000153,7168.25,No
Female,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),20.10000038,1326.25,No
Male,0,Yes,Yes,36,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),60.70000076,2234.550049,No
Male,0,Yes,No,25,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.95000076,495.1499939,No
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.8499985,8317.950195,No
Female,0,No,No,36,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.25,679.7999878,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,62.79999924,62.79999924,No
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,105.5,7544.0,No
Male,0,Yes,Yes,59,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.85000038,1188.25,No
Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,676.7000122,Yes
Female,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),74.09999847,74.09999847,No
Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.5,3242.5,No
Male,0,No,No,64,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.54999924,1240.150024,No
Male,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),68.80000305,4111.350098,No
Male,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),84.44999695,5899.850098,No
Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.0,632.9500122,Yes
Female,0,No,No,62,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),84.5,5193.200195,No
Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.1999969,7530.799805,No
Male,0,No,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.75,270.9500122,Yes
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.59999847,5460.200195,No
Female,1,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),80.69999695,1614.199951,No
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.59999847,402.5,No
Female,0,Yes,Yes,24,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,57.59999847,1367.75,No
Female,0,Yes,No,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.04999924,483.7000122,Yes
Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.5999985,7962.200195,No
Female,0,Yes,Yes,66,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),58.20000076,3810.800049,No
Female,0,Yes,Yes,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,81.0,3533.600098,No
Female,0,Yes,Yes,69,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.70000076,1396.900024,No
Male,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.59999847,1345.550049,Yes
Female,0,No,No,28,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.54999924,1646.449951,No
Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.5500031,8127.600098,Yes
Female,0,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,75.55000305,2680.149902,No
Male,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.59999847,1281.0,Yes
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.19999695,1553.900024,Yes
Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.65000153,3207.550049,Yes
Male,0,Yes,Yes,42,No,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),45.09999847,2049.050049,No
Male,0,No,No,48,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),70.94999695,3629.199951,No
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.5500031,5124.549805,Yes
Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,89.55000305,3474.449951,Yes
Female,0,Yes,Yes,11,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.89999962,202.3000031,No
Male,0,No,No,7,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.95000076,147.5,No
Female,0,No,No,3,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.60000038,86.34999847,No
Male,0,No,No,8,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,66.69999695,579.0,No
Male,0,No,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.45000076,19.45000076,Yes
Male,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,94.80000305,3131.550049,No
Male,0,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),65.84999847,3928.300049,No
Female,0,Yes,No,10,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.95000076,187.75,No
Female,0,Yes,No,71,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.64999962,1710.150024,No
Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.35000038,76.34999847,Yes
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,Yes
Female,0,Yes,Yes,43,No,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),51.25,2151.600098,No
Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),99.5,5961.100098,Yes
Female,0,Yes,No,23,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,54.25,1221.550049,No
Female,0,Yes,No,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.39999962,1496.449951,No
Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),56.25,1292.199951,No
Female,0,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.14999962,25.14999962,No
Male,0,No,No,69,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.95000076,1713.099976,No
Male,0,No,No,50,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.40000153,1748.900024,No
Female,1,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.20000076,25.20000076,Yes
Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.0,96.44999695,Yes
Female,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.34999847,1114.550049,No
Male,0,No,No,31,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.39999962,609.0999756,No
Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.14999962,20.14999962,Yes
Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.0,7133.25,Yes
Female,0,Yes,Yes,0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),56.04999924,56.04999924,No
Male,0,No,Yes,3,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),54.70000076,169.4499969,Yes
Female,0,No,No,8,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.0,141.6000061,No
Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),73.05000305,4688.649902,No
Female,0,Yes,No,28,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.5,563.0499878,No
Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.75,5985.0,No
Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.25,1258.599976,Yes
Male,0,No,No,19,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.95000076,373.5,No
Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.94999695,857.2000122,Yes
Female,0,Yes,No,51,No,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.65000153,2553.350098,No
Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,65.65000153,4322.850098,No
Male,0,Yes,Yes,11,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.45000076,250.8000031,No
Male,0,Yes,Yes,72,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),60.95000076,4549.049805,No
Male,0,Yes,Yes,66,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.35000038,1359.5,No
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.34999847,1639.300049,Yes
Female,0,No,No,9,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.5,178.8500061,No
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.19999695,633.8499756,No
Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.4499969,5315.100098,No
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.15000153,735.5,No
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,889.9000244,Yes
Female,1,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05000305,1290.0,Yes
Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,78.44999695,330.0499878,Yes
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.19999695,237.9499969,Yes
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.0,6474.399902,No
